UNIQUEID	MODERATED	OVERALL_QUAL	EFFECTIVE_QUAL	REASON_QUAL	COGENCY_QUAL	CLEANEDCOMMENT	annotator1	annotator2	annotator3	annotator4	averageannot
192.0_Electronic On-Board Recorders	True	2.915719	2.9171069	2.8222847	3.05625	the companies that want these are either the anti trucking groups or the companies that already have a poor record of compliance. The financial burden for the Owner-operators will drive many out of business without improving safety, which is suppose to be the stated goal. the over regulation of this business is driving many small business owners to bankruptcy and the government seems to care less. for safety?? my aunts petutie	0	2	1	1	1.0
162.0_Airline Passenger Rights	True	3.0848608	2.986987	2.888808	3.1129563	"Not only advertise TOTAL fare- but whether or not the fare is refundable. Also - beyond the fare - the airlines are adding ""FUEL SURCHARGES"" to almost all international fares. The Fuel Surcharges need to be described as either refundable or non-refundable as well."	1	3	4	2	2.5
855.0_Airline Passenger Rights	True	3.7665637	3.1022782	2.9598014	3.192329	On a recent trip from Wa state to Michigan, every single flight (two out, two back) was late by at least a half hour, resulting in missed connections both ways. When the airport is more than two hours away, notifying passengers of a potential half hour delay won't significantly change whether they head for the airport or not. However, in retrospect, I would have LOVED to know the following when booking flights: 1) airline's yearly on time percentage; 2) airline's passenger satisfaction rating. Personally, if I'm going to be treated like cattle, I'd just as soon be happy cattle. Air travel has turned into such a frustrating exercise (hidden fees, late flights, no water, no food, no service) that we look for reasons not to go air. Frankly, if I have to live with such delays, I'd just as soon do it on a train. THEY are still fun, despite their delays.	3	2	5	3	3.25
83.0_Electronic On-Board Recorders	True	2.3407254	1.8027179	1.7099526	2.1889446	Are there exceptions to the 24 hour rule or wiggle room? Seems kinda insane compared to the 13 days we used to have. Actually gives me an incentive not to get my supporting doc in electronically. How's that for efficiency? Why not 48 hours or something instead?	2	2	3	1	2.0
1281.0_Airline Passenger Rights	True	2.3371747	2.7862594	2.6894372	2.9609718	Whatever protects us is ok with me. I just don't want more fees added for whatever the changes are. I fly international a lot, and I am not really sure what you are asking of us.. Can you be more specific?	1	1	2	0	1.0
81.0_Electronic On-Board Recorders	True	1.7369452	3.8385878	3.6903753	3.8676338	Being a small bus company in these economic times, we have NO extra money for more regulations. I am all for safety but this is going to put the small guys out in the cold!!!!!!!!!!!!!	1	1	2	1	1.25
240.0_Electronic On-Board Recorders	True	3.247758	3.7725246	3.5945563	3.7844357	I have been using EOBR for 5 years now, it took a little time to get use to. But now that I have gotten use to it, it's like a lot of new technology you can't live with out it. There is a very major down side to it though, in oder to make money you have to keep moving. You need to address the drivers time lost to loading and unloading. It is not right that a company holds a driver for hours at a time. Now this is illegal but trust me all drivers due it, they falsify thier log books to not show the time they sit doing these things. With EOBR you can not do this which is good, but it will cost drivers thousands of dollars in lost driving time. DOT needs to some how set max. loading and unloading times and go after companies who violate it.	2	4	3	2	2.75
33.0_Airline Passenger Rights	True	3.4115891	3.7726276	3.5777862	3.7927823	There is another growing problem that needs to be addressed, limitation on in-flight sales & solicitation. One US carrier has mastered this art. Flight attendants are on the intercom from take-off to landing selling everything from MasterCards to sandwiches. I boarded USA in Miami in March and it was the coldest airplance I've ever seen. Moments later when the lady across the aisle asked for a blanket for her and her young child she was told they had no complimentary ones but could sell her two! There is NO question in my mind the reason the plane was so cold was to generate blanket sales. This is just wrong.	3	2	5	2	3.0
272.0_Electronic On-Board Recorders	True	2.7812345	3.6077738	3.4803803	3.6720538	"Who do you think pays for idiot legislation like EOBR's. As Rush always says, ""Follow the Money"". Look to see who is sponsoring this legislation and that will answer the questions about ""only big company's can afford to install EOBR's. Big companies are paying for this legislation precisely so they can run small business truckers out of business, because we can haul it cheaper."	1	1	2	1	1.25
102.0_Electronic On-Board Recorders	True	3.4137297	3.777005	3.646546	3.8393197	I do not believe EOBR's are any more necessary for CMV than they would be for cars. I have not seen any evidence that trucks cause any more accidents than cars. If we are serious about safety EOBR's should be mandatory on all vehicles. As far as productivity is concerned, a lot of products in america are moved with little notice and require trucks at a moments notice as opposed to freight that ships on a continual basis. I think this is what sets America apart from other countries because we can ship anything, anywhere very quickly. many times to move this type of freight quickly you can't comply with the current HOS but that doesn't mean you are endangering other people on the road. EOBR's will have no affect on a large part of the industry but have a huge affect on a smaller part of the industry. FMCSA will have to weigh the cost/benefit.	4	4	3	3	3.5
1057.0_Airline Passenger Rights	True	3.191353	3.7980688	3.6744936	3.8650577	Kudos to Hawaiian Airlines. I was on a trip to attend my mother's funeral and was delayed in Honolulu because of mechanical problems. Hawaiian Air ADMITTED that there were mechanical problems. I had 2 other connections which I missed. Hawaiian Air went out of their way to ensure that I was able to arrive at my destination 30 minutes prior to the funeral for my mother. Thank you Hawaiian Air for being truthful and compassionate.	2	1	5	1	2.25
149.0_Electronic On-Board Recorders	True	2.515841	3.7196233	3.617331	3.8464234	If eobrs are mandated I know of numerous including me that will be put out of business, you can not install an eobr in an older model non electronic truck.. EOBRs are not for safety there is no way that an Electronic onboard recorder knows when I or any other driver is tired or fatigued..(EXAMPLE) If I start my day at say 5:30am drive 11 hours with a 30 minute break in there some where that has me shut down for the day at 5:00pm I can not go to bed at 5:00 pm I call my twin four yeard old girls every night at there bed time that is 8:30pm.. regardless I can not go to bed at 5:00pm but maybe at 9:30 or 10:00pm i can so i sat for 5hours then finally ablr to go to sleep by 10:00pm. My alarm goes off 3:00am after my mandatory 10 hour break.. The HOS rules made me stop at 5:00pm I could have easily driven untill 8:00pm.. but as I said the hos and the EOBR said i had to stop at 5:00pm and now I am Ok to drive tired at 3:00am because I am in compliance and my EOBR said I can.. This is CRAZY and should not be Mandated.. it should be voluntary if anything.. I have Twin four year old girls whom my wife and I adopted at birth and a 16 year old son I am all about Highway safety.. Truckers (MOST)are professionals.. The only one that knows when they are tired are them selves.. No EOBRS.. thank you Virgil Tatro..	1	3	4	1	2.25
150.0_Electronic On-Board Recorders	True	3.1427896	3.7609541	3.635137	3.8209925	I have read the post on the cost savings and to me they do not out weigh the cost of installing and or maintaining of equipment. If you are looking to keep more people compliant how about having law inforcment actually check logbooks when they pull people over or when they go in for inspections. I have been pulled over for various things and pulled in for inspections and have very rarely been asked to see my logbook. I had one DOT officer in Texas say I don't know how to read it so I don't want to see it.	3	4	4	4	3.75
156.0_Electronic On-Board Recorders	True	2.4660552	3.7925737	3.5937204	3.8057027	Like with a lot of rules now it seeems to me they are approaching this from the wrong angle, Why punish those of us out here abiding by the hours of service, even if we disagree with them, instead of working on better enforcement of the rules already in place.	2	3	3	2	2.5
1046.0_Airline Passenger Rights	True	3.4476082	3.6555436	3.5609179	3.7215872	This will bite the consumer in increased fees and put further strain on carriers....not to mention airports struggling with less planes. To me, the fees will need to be incorporated with a pricing scheme that will include a bare minimum airfare carriers need to charge. Going after volume is a risk to people and the industry.	2	3	3	4	3.0
115.0_Electronic On-Board Recorders	True	3.859786	3.6008377	3.5037546	3.7189355	"The market for EOBR providers is more comprehensive than the original post suggests ""“ today this industry is extremely fragmented. While Qualcomm has had a dominant market share on-board communications, it can be argued there are more units from other vendors running e-logging applications. Other vendors in this space include Cadec, CarrierWeb, DriverTech, International Telematics, JJ Keller, PeopleNet, PeopleNet, Safefreight, Teletras, TransCore, Trimble, WebTech Wireless, XATA, Zonar. All vendors in this space will need to make changes to both hardware and software to be compliant with 395.16 regulations and it can be difficult to understand what solutions are compliant with what regulations (e.g. 395.15 vs 395.16). It is likely more vendors will come to market if the expansion of 395.16 reaches to all ERODs based trucks."	4	3	5	4	4.0
98.0_Electronic On-Board Recorders	True	3.4217644	3.7307954	3.5766172	3.7888741	I think if we are forced to go to EOBR's that the whole HOS should be looked at so that drivers will have more flexibility in their daily work. there are too many variables in trucking and by forcing drivers to adhere to the rules , there will be a reduction in productivity and would have a negative affect on a fragile economy	2	3	3	3	2.75
132.0_Airline Passenger Rights	True	3.5077984	3.8436282	3.666138	3.8332791	The airline should compensate passengers who get bumped the full fare it would cost at that particular point of time for the customer to buy a ticket on that airplane. Otherwise, airlines will bump passengers who paid a lower fare. As a result, for example, if I paid $200 for a ticket and a different passenger paid $800 for a seat on the same airplane and class of service, the airline would have a clear incentive to bump me and not the other passenger - all else equal. In addition, the airline should compensate the bumped individual for the time they wasted because the airline bumped them. One imperfect way to set a fair amound could be to divide the individual's salary by 40 h/wk and 50 work weeks per year.	3	3	5	4	3.75
293.0_Electronic On-Board Recorders	True	3.6929781	3.6462395	3.5073414	3.7368097	Since the EOBR regulation is being introduced as a safety initiative, it is appropriate to also consider driver safety. A wireless device that transmits driver stops is a truck hijackers dream come true. Even though the proposed EOBR does no record stops down to the GPS grid coordinate level, all a thief or theft ring needs to know is the city the truck stopped to have a good idea of what their cargo is. Shipping locations are well known within the trucking community. For example if a truck stops for more than a 1/2 hour and less than 10 hours in my home town there is a very high probability the truck is carrying bagged soil or bricks. The thieves know what towns the pharmaceuticals, electronics, precious metals (like copper, aluminum) and other high value loads are being shipped from. Several recommendations: A. DOT conduct a study to confirm the security of the information from unauthorized users. If a law enforcement officer can read it via wireless or plug-in information - it is not secure. If wireless networks were secure the DOD would not prohibit their use for sensitive communications. B. DOT conduct a study to determine the number of truck drivers who will be killed or injured due to criminal exploitation of the security vulnerabilities of the proposed EOBR system. C. If an upgrade in the systems is require to make them more secure, those costs need to be included in the cost of the proposal.	5	4	5	4	4.5
514.0_Airline Passenger Rights	False	2.875848	3.7594461	3.6208193	3.8100448	You got that right! The whole anti-peanut movement is the result of hyper-paranoid parents imagining worst case scenarios and thinking that they have the one child in a billion who actually has a problem with the supposed allergen. The only way peanuts are going to hurt you is if you choke on them.	0	0	2	0	0.5
628.0_Airline Passenger Rights	False	2.4758132	3.6094573	3.4922097	3.7067819	Really, I just have one question: Does anyone here actually know of a confirmed report of one person actually dying from a peanut? I'm not talking about 'almost' died, I mean an actual funeral? Didn't think so. Nuff said.	0	0	3	0	0.75
515.0_Airline Passenger Rights	False	2.4062455	3.7506166	3.6281033	3.817182	And what makes you think your kid is actually allergic? Did you read a news story about the one person in the history of the world who actually had said allergy and assume YOUR kid must be the other one? Munchasen by Proxy - look it up.	0	0	3	0	0.75
1106.0_Airline Passenger Rights	False	2.8339345	3.6238132	3.4681556	3.6680174	pixel97-Hopefully, you'll never find out personally. A server allergy to anything can result in death. And its a death where you suffocate to death within about 10 to 20 minutes. And its hell for the person suffering as well as those around them who are helpless to do anything. Banning nuts is not a hard thing to do.	4	3	3	3	3.25
1044.0_Airline Passenger Rights	False	2.8144429	3.687272	3.5648155	3.7776823	When in the US airspace...all planes need to abide to the rules of the land. When you visit a country you are expected to follow the rules governing the land...this should not be any different.	1	2	5	1	2.25
258.0_Airline Passenger Rights	False	3.6668913	3.6616848	3.5330834	3.8042066	"FrequentFlyer, though I appreciate your attempt at proposed solutions, I cannot support them. (A) we live in a remote area and air travel is the only option to go anywhere interesting. (B) ""resue"" medication only lasts 10-20 minutes, and you can only give two doses without medical supervision, and (C) we already take very careful measures to minimize the possibility of exposure. I fail to see why eating peanuts in particular is seen sa a ""right"""	4	4	4	4	4.0
378.0_Airline Passenger Rights	False	3.3726742	3.6592093	3.53159	3.7317085	If you take your daughter on a flight knowing that they serve peanuts, and knowing that her reactions are so severe, then you have created the problem, and that emergency landing should come out of your pocketbook. Consider that before you infringe upon the rights of hundreds of others to cater to your needs. Carry an epi pen or use alternate transportation rather than expecting the world to bow to your needs. It's simply not realistic.	4	1	3	2	2.5
255.0_Airline Passenger Rights	False	3.1819742	3.723479	3.5615962	3.777408	"ricport - ""total responsibility"" is only possible when you have control. when you have both feet on the ground, you can drop everything and get to emergency services within 20 minutes. ""Adequate preparation"" = reducing possibility of exposure and carrying epipens just in case - but they only buy you 20minutes or so and limit is 2 without medical supervision. so, small-minded pax eating peanuts at 30,000 feet and unsympathetic crew could = death. and as for nannying, my experience is that government treats people according to the way they're acting."	3	2	2	1	2.0
424.0_Airline Passenger Rights	False	3.5290575	3.7781513	3.6366909	3.8142257	Anyone who actually suffers from a life-threatening reaction to peanuts should not be on a plane at all. If the presence of peanut dust on an airliner is that risky to them, they know they shouldn't be flying. Despite what FAAN claims, there is no scientific data to support the idea that large numbers of people are dying from anaphylactic shock due to peanut allergies, or even that peanut allergies are on the rise through natural causes. Gullible parents telling their kids not to eat peanuts because they are or might be allergic causes needless anxiety for those children, and when they finally are exposed to peanuts or peanut dust, they end up having an allergy. That's irresponsible parenting. At the same time, most of the population is allergic to one or ore types of dust; should the FAA ban that from airliners, too? How would they accomplish that? They'd be unable to open the doors to board or disembark, and you'd have to close all the airports, too. Allergies are not disabilities. If that were true, then the 80 percent or more people who have a deviated septum would also qualify as having a disability, yet nobody's proposing that airlines supply a separate, non-emergency oxygen supply to help them breathe better. It's time to put an end to bending to the agenda of special interest groups that have a political agenda: one that isn't based on science, but instead based solely on fear and claims that can't be supported by scientific facts.	3	2	5	3	3.25
531.0_Airline Passenger Rights	False	2.7593205	3.7396934	3.5809996	3.7827501	Faulty reasoning on Mulder's part. There's no comparison between the leading cause of fatal and near-fatal food allergic reactions and a dust mite. Or a deviated septum.	2	2	2	3	2.25
965.0_Airline Passenger Rights	False	3.3988934	3.5616217	3.4909039	3.7312274	I proposed an answer to overbooking in another area. I repeat it here. The airlines know how many seats they have on a flight and how many tickets they have sold for the flight. Each passenger should be guaranteed a seat up to the number of seats on the flight, after that passengers should be sold standby seats numbered 1-n, first come, first served. This is neat and simple and there is no question of who gets a seat if they show up.	3	3	3	4	3.25
568.0_Airline Passenger Rights	False	2.174568	3.7845762	3.619748	3.8615985	My hat's off to you Mr. Mulder (Fox isn't it?). You seem to be the only voice of reason in this entire thread.	0	0	0	0	0.0
804.0_Airline Passenger Rights	False	3.5651925	3.7713897	3.6295645	3.8398297	I've experienced tantrums from fully grown adults because they were restricted in their peanut consumption in daycare environments. I'd rather not have this experience on a flight. My daughter will only fly on peanut-free planes (if peanut is on the ingredients list, the item should be banned. Made in a peanut facility is fine and the allergic individual should know not to consume the item. As far as I understand it, highly processed peanut oil is safe.)	2	2	3	1	2.0
267.0_Airline Passenger Rights	False	3.644895	3.7431343	3.6445255	3.8452654	There's no need to single out passengers if the ban is airline-wide. There should be written announcements when a ticket is purchased, when a passenger is checked in and a verbal announcement by the flight attendant during the safety spiel at the start of the flight.	2	3	3	3	2.75
108.0_Electronic On-Board Recorders	False	3.7597678	3.739319	3.6381793	3.8623056	I do not think there is any way to accurately account for all the possibilities that can occur in trucking and assign a cost to it. so to say that the benefits are greater than the cost are just a way to justify more regulations. The country is currently rejecting excess regulations through the Congress and my thinking is the FMCSA has to get these laws passed quickly while they can.The main factor i have against these regulations is the assumption that you are guilty and it is up to FMCSA to catch you violating a rule. Why can we not assume drivers are just trying to perform a job to the best of their abilities. I still contend that the industry does not need these regulations!	3	2	3	2	2.5
290.0_Electronic On-Board Recorders	False	3.3310926	3.7643728	3.5973067	3.8005137	The trucking industry is on the verge of collapse. Increasing fuel prices, cheap horrible rates,and now MORE regulation?? When is enough,enough? I used to love this job/way of life. Not anymore. The government regs,fuel costs and greedy brokers have have done a great job of destroying the american truck driver. We sacrifice so much for this job, IE. Family,hometime,health. We used to be compensated for it. Will an EOBR force me to drive when I'm tired?Of course it will.Maybe the other driver that said he now makes more money with an E-log has never made a good pay check in this industry. Let us do are jobs. Most of are professionals,we know are limitations. Its time to make the shippers and receivers accountable for their actions and not put everything off on the driver. Over regulating this industry is causing more and more good drivers to seek employment outside of the trucking business, myself included..	3	2	2	1	2.0
283.0_Electronic On-Board Recorders	False	3.2404041	3.6725786	3.5317652	3.740673	That is the point that i am trying to make i guess eobrs have nothing to do with safety, its all about the money. I'm sure someone stands to get rich off of this proposal there always is. At a time when the economy is struggling to recover from a horrible recession and truck statistics are the safest they have been in the 50 years all of a sudden HOS non compliance has become a big issue? why the money I'm sure that eobrs save big fleets plenty of money they don't have thousands of logs to audit every week, and they have the equipment and the working capital to be able miss appointments and deadlines with small consequences or consequences that won't put them under. According to ooida the fmcsa can't even justify this rulemaking without using out dated or inflated numbers from years before the current HOS took effect. So I guess it isn't all about safety	3	4	2	2	2.75
173.0_Airline Passenger Rights	False	3.8096411	3.6666763	3.5179477	3.7590199	"Airlines should be required not only to notify passengers to changes in their itinerary, but to offer the passenger a chance to refuse the change being made and re-schedule the flight to meet their travel needs. It is absolutely unfair of the airline to mandate that I accept a change to my flight departure time that now conflicts with the purpose/timelines of my trip without offering me an option to say ""no thanks, I chose a 2 pm departure for a very specific reason, please offer me another option that doesn't disrupt my plans"". There should be no ""change fee"" charged to the consumer who turns down the airline's change to their itinerary and opts to re-book the flight. Way back in January I booked a flight to NC with very specific choices made to ensure that I had enough time between flights and that I arrived within a certain window of time. The airline proceeded to change my itinerary on three separate occasions, ultimately putting me on the flights I had specifically avoided when I booked the ticket. When I called to ask if I could re-book to meet my travel needs, I was told that the airline would charge me a change fee of ""at least"" $180, plus the difference in ticket price on that day. This is absurd. In any other industry I don't have to put up with the retailer replacing my apple with an orange and then telling me, if you *really* want the apple, you have to pay us more for it."	4	5	5	4	4.5
1056.0_Airline Passenger Rights	False	3.5111759	3.7936056	3.6825256	3.8551075	"I have experienced numerous delays through Atlanta due to ""weather."" I have a friend in Atlanta and have called her on 5 different occasions asking her the weather. It has been clear, light winds, and no bad weather predicted. On 2 of these ""weather"" delays, mechanics were working on the aircraft. Weather delays need to be confirmed if airlines use them as an excuse to avoid finding you alternate ways to get to your destination."	3	3	5	2	3.25
906.0_Airline Passenger Rights	False	3.6999035	3.6696093	3.5168571	3.7230878	"Airlines should require a gate agent to give hourly status or tell passengers when to return to the gate for status. I endured an all-day wait without being advised of status. We were scheduled for an 8am departure. Gate personnel advised us of mechanical problems and said to check back at 10am. At 9am, a gate agent advised maybe a 11am boarding (people who did not arrive till 10am per prior instruction never heard that announcement). After that NO ONE gave us status. It was 6pm before we found out the flight was canceled by calling the airlines. The notice on the departure boards and at the gate said ""delayed""... a gate agent never gave us status after 9am! A fellow passenger happened to work at this airline, so he made some calls and was able to get status from the maintenance crew... the maintenance chief said his estimated time of fix was 5PM - maybe. If some ""official"" from the airline had done the same thing, the passengers could have done something else for those many hours rather than hang around the airport, checking the departures board for status. Also no compensation given...but that's another discussion. No, it would not have changed the delay/cancellation situation, but if an agent had said check back in x number of hours, then actually come to the gate at that time, people could have done something else. I've worked in customer service before. Customers want to know what's happening if only to be told ""this is the problem, we're still working on it..."""	3	3	5	2	3.25
84.0_Electronic On-Board Recorders	False	2.2008743	3.858898	3.6882818	3.862233	yeah, and especially the little guys who have to suffer the most. it's really just a conspiracy among the big truckers to beat out the competition. noticed that five huge truck companies have out and out supported this regulationn.	0	0	1	1	0.5
298.0_Electronic On-Board Recorders	False	3.0881975	3.7640345	3.6296449	3.7780614	As a small trucking company owner, the the proposed EOBR doesn't pass the cost/benefit test. To pay $785 a year for something I currently do for $12 a year when I get absolutely no benefit is unnecessary financial burden.	2	3	5	4	3.5
220.0_Electronic On-Board Recorders	False	3.5183814	3.7428448	3.570374	3.7801182	This is merely another phase of Big Brother. For all we know, they could have listening devices installed within. One thing about it: If the door is opened even merely enough for someone to get their foot inside, they always tend to take more and more. That is exactly how this government has grown so out of control. Now they are financing their purses with more money which could have been better spent in maintenance of our vehicles or the payment of taxes we already owe. If you just think about it: why did they just go through hiring so many new law enforcement officers? Law Enforcement needs to focus more on those who PURSUE making money illegally, and let a person earn a fair income honorably.	2	0	2	2	1.5
1045.0_Airline Passenger Rights	False	3.2690597	3.761514	3.658778	3.8100736	Why does everyone look at this is paperwork? Technology should be able to be implemented to make data available. Fighter jets already have the capacity to plug into a laptop to get readings of systems. Formula one does this as well. I see this implemented via a standard technology that uploads to computers where reports could be generated. For airlines that do not upload data and or fails audits, they are fined and could loose routes.	3	3	3	4	3.25
735.0_Airline Passenger Rights	False	3.5912206	3.7420952	3.60793	3.8018556	"A blanket restriction can be communicated as part of the ticket purchase, much like the new luggage fees. I would suggest asking airlines to print it on the itinerary with food information, and on boarding passes. As I think about it, there are some serious communication issues with peanut-free zones or individual peanut-free flights. I have had flight times changed and the airline failed to email or telephone me. I caught the time change when I logged in to print a boarding pass. My brother almost missed a flight when the same thing happened to him. If a peanut-allergic person books a flight a short time before travel, the airlines are not reliable enough to notify passengers. The information could be provided when people log in to print boarding passes, but not everyone prints them in advance. The scenario where a celiac like me packs peanut-containing food and doesn't find out about a peanut restriction until they arrive at the airport is troublesome. Not all terminals have places where I can buy gluten-free food. Peanut-free zones on full flights could be handled by the flight staff moving people who want to eat peanuts around the cabin; however, people are sometimes resistant to being reseated and it puts a burden on the flight crew. As I write this, I think DOT is going to have to go with an all or none policy on peanuts. It's too difficult to communicate to other passengers with different dietary restrictions who might pack peanuts with a ""sometimes"" policy."	4	5	4	4	4.25
264.0_Electronic On-Board Recorders	False	2.844784	3.7943938	3.6297657	3.8480327	moderator I am against any kind of device put in my truck, that government wants in there to keep track of me. A smartphone or EOBR, makes no difference. I guess the best thing to compare this to is somebody that breaks the law and gets put under house arrest and gets the ankle bracelet to make sure they do what they are told What is the difference. I broke no crimes but they want to watch to make sure I am being a good boy, and if their little black box tells them you did something wrong you have troubles, and this they say will make the roads safer. How I ask? by putting more stress on an already stressful job and making it more stressful having everything you do recorded. And one can not say that is what they are there for, if not why force them into one's truck.	2	1	2	2	1.75
983.0_Airline Passenger Rights	False	3.1764219	3.8326826	3.7207284	3.8892345	30-minute delay seems reasonable. I just experienced that our of Charlotte, Va. two days ago. U.S. Airways was quite prompt in notifying us of the closure of Washington-National airport due to thunderstorms. In all I was delayed 60 minutes but informed at the gate over the loudspeaker approximately every 15-30 minutes. Standardizing methods for updates is a good idea. Hard as this may be to believe not every one carries a cell phone or other pda. So airlines should, at the very minimum, continually update on their flight information screens throughout the airport and at the gate along with loud speaker updates at the gate area. Yes, ALL flights should be covered by this notification requirements, small or big, domestic or foreign. It would allow consumers to notify waiting parties at the other end of the flight, hotels, car rental companies, etc.	3	4	3	3	3.25
297.0_Electronic On-Board Recorders	False	3.735795	3.5360572	3.4877133	3.6471558	"There is cumulative effect of the recent flurry of DOT regulations, 5% of revenue for EOBR's, 5%-10% revenue reduction for elimination of the 11th hour of service, TWIC cards, cell phone prohibitions, no idling laws, mandated rest breaks, California CARB rules, new rules for fuel efficiency that increase equipment costs. How much money do you think we make? The shotgun approach for regulation hides the true amount of burdens the DOT is placing on private industry. As a former military person, I know some of the first objectives of any military plan is to disrupt and destroy the enemy's lines of communication and supply. Someday we could have ""star trek"" like teleporation devices, until then the US trucking industry is this nations line of supply. No enemy could possible do a better job of destroying this nations line of supply than our own Department of Transportation. Recommendation: DOT conduct a comprehensive study that includes the costs leveraged on the trucking industry by all levels of government over the last 24 months and proposed regulations over next 24 months to determine the true increased cost of regulations. Also, recommend comparison of the cost information will real life revenue information from private carriers (including small business)to determine the cumulative effect of regulations."	3	3	3	4	3.25
138.0_Airline Passenger Rights	True	3.0170097	3.8048773	3.6543574	3.8558881	I think a buffer-zone would be a more realistic approach to the issue than select peanut-free flights. What if your flight is delayed and you miss a connecting peanut-free flight?	2	4	3	3	3.0
757.0_Airline Passenger Rights	True	3.6498852	3.780136	3.585075	3.8161314	"I would like to share a few words from a very intelligent and very prominent president, that I think helps with this discussion. ""You cannot help the poor by destroying the rich. You cannot strengthen the weak by weakening the strong. You cannot bring about prosperity by discouraging thrift. You cannot lift the wage earner up by pulling the wage payer down. You cannot further the brotherhood of man by inciting class hatred. You cannot build character and courage by taking away people's initiative and independence. You cannot help people permanently by doing for them, what they could and should do for themselves.""-Abraham Lincoln"	1	0	3	1	1.25
40.0_Airline Passenger Rights	True	3.4561555	3.6323712	3.476741	3.6856992	Oops. Some people used the Site FEEDBACK button for their comments. Sorry about the confusion. Here's a comment left there by an unidentified participant. (If you submitted this comment and want to have it posted under your user name, contact us.) What happens to children flying alone? The airlines require that a companion (an employee of the airline) be assigned (for a fee) to children under a certain age for the duration of their travels. How do the children just over the cut-off fend for themselves? ALL minors should have additional protections as they will not be able to stand up and be heard as an adult might. I have not heard anything about the treatment of minors. Anyone?	4	3	2	2	2.75
1075.0_Airline Passenger Rights	True	3.2846234	3.7594068	3.6521747	3.8780465	Who besides business travelers reserve at the last minute? Doesn't every hip traveler book online and prepay with expedia or orbitz or another online service, even months in advance? If I've paid for a ticket on a given flight, either put me on that flight or give me adequate compensation, like food, drink and a hotel room if needed, until you can get me where I paid you to take me. As for weather delays, that is part of the business.	2	2	2	2	2.0
598.0_Airline Passenger Rights	True	3.2782295	3.7686632	3.5985236	3.7839189	"While my comment is NOT directed at ""mthornt1"", since I can't find any access to Voice MY comment directly, other than ""replying"" to someone else' comments. Firstly, I have traveled relatively frequently out of the USA. What I find very interesting is that on the various airlines I have used, none have applied the Baggage Charge on my return flights from the other countries back to the USA. Why is this so? It leaves me to believe that either the other countries airline offices are operating on their own and more efficiently and therefore find it unnecessary to charge for baggage or that there is something definitely Not Transparent. Furthermore, it is my opinion that if there is a ""Charge"" for something, in this case baggage, that it is a contract and that the baggage if not delivered with the owner and the time of arrival, then the contract has been broken and a refund is due the customer."	3	3	4	3	3.25
231.0_Electronic On-Board Recorders	True	3.426226	3.6778004	3.6196902	3.8104658	"To the Moderator, Cost is only one of the factors I'm speaking about. Violations of our right to work without being harassed at every turn of our step is also taken into my consideration. How is it fair for our every move to be tracked, while every other working individual is allowed freedom of movement? If we have to have EOBR's, then every motorized vehicle needs one as well. My logbook works just fine. Although I don't agree with all the little quirks which have been implemented merely as a result of some lobbyist group such as: MADD, Public Citizen, and many others. Therefore, no I do not agree, as many others will not either. When the public sees that the owners are not willing to foot the cost of ""Self Law Enforcement,"" they will also enjoy the greater cost of all delivered goods."	4	3	1	4	3.0
426.0_Airline Passenger Rights	True	3.714893	3.8013813	3.700693	3.8496442	"There is no scientific data to support the claim that food allergies have doubled during any time period, much less the one that's mentioned by Laura. If you read the NCHS Data Brief on the CDC web site, it specifically uses the term ""reported food allergy"", which isn't the same as an actual food allergy. Parents report just about any adverse reaction to food as an allergy, but true allergies can only be confirmed by observing the patient after consuming the suspect food and testing for the presence of IgE antibodies. Without that, all you have are overanxious parents conflating two separate and distinct things into the same, potentially life-threatening thing."	4	3	5	1	3.25
423.0_Airline Passenger Rights	True	3.097643	3.765022	3.6394382	3.8299885	I think all services should be listed. Including the real perks like $90 upgrade to first-class domestic. For a 'full fare' price, go back to what airlines provided during regulation days, and figure out what ammenities have been removed. Then list those. All airlines need to comply. Restaurants don't go out of business just because they list their prices on the menu. I don't think airlines will either.	2	2	5	3	3.0
216.0_Electronic On-Board Recorders	True	3.40751	3.7994425	3.6444278	3.816978	As far as the costs involved, buying/renting, an on board tracking device. The federal government does not care. Like the EPA, CARB, ect.,if you have to buy a brand new truck to comply with thier regulations, then so be it. The folks with these older trucks that don't have electronics, they will force you to do whatever it takes to run one of these EOBRs, or you just won't be compliant to operate. That being said,since they de-regulated trucking in the sixtys, the haul rate has been in a freefall. I would suggest, if they're going to require all this, that they should also re-regulate the haul rate. Just so we won't have to keep hauling dollar freight, and pay for all this other stuff too. You just try and pass this off to the consumer. You'll soon be too expensive to do business with. already saddled up with high fuel prices, fifteen dollar truckstop meals, four hundred dollar tires, won't mention the price of a road service call. If they are out to level the playing field, cause we all know it ain't about safety, then they NEED to level it. That's just my opinion.	3	3	4	1	2.75
1213.0_Airline Passenger Rights	True	3.495226	3.591826	3.422082	3.664568	Due to the many causes for delays, it is important to have guaranteed delay times. For example, we are told that there will be an update at 45 minutes past the hour, only to see it move up or back depending on the repair, clearing of weather, arrival of the crew, or other factor. If there was a specific time locked in, you could go to another area assured that information would be honored and the flight could proceed on a known schedule.	4	4	5	4	4.25
